,text,text_2,score,length
0,BoumedieneThiery,BoumedienneThiery,9.98613550676366,33
1,Institucionales,Constitucionales,9.985861172062386,31
2,BoumédienneThiery,BoumédieneThiery,9.985209320008488,33
3,Interparlamentaria,Interparlamentario,9.985010235950897,36
4,EuropaIzquierda,EuropeaIzquierda,9.984782390671821,31
5,Chevenement,Chevènement,9.981826446280992,22
6,KreissDörfler,KreisslDörfler,9.980538475764739,27
7,Staffordshire,Herefordshire,9.980511894459049,26
8,upadministration,administration,9.980072982176573,30
9,Secretaria,Secretaría,9.98001,20
10,Kwomintang,Kuomintang,9.98001,20
11,Dimokratía,Dimokratia,9.98001,20
12,Wallström,Wällstrom,9.977790123456792,18
13,imprescindibilidad,coresponsabilidad,9.977421140005116,35
14,comunitarización,desfiscalización,9.976443138638398,32
15,Manchester,Winchester,9.976278134771103,20
16,técnicoeconómica,políticoeconómico,9.975885852040584,33
17,Inspecciones,Direcciones,9.975514066772021,23
18,Presupuestaria,Presupuestario,9.975302570879244,28
19,Zimbabwe,Zimbabue,9.975015625000001,16
20,Sorensen,Sörensen,9.975015625000001,16
21,Kozloduy,Kosloduy,9.975015625000001,16
22,Ericsson,Eriksson,9.975015625,16
23,Babitsky,Babitski,9.975015624999997,16
24,Babitsky,Babitzky,9.975015624999997,16
25,Babitzky,Babitsky,9.975015624999997,16
26,Centroamérica,Latinoamérica,9.974894679386725,26
27,Duysenberg,Duisenberg,9.974597125090467,20
28,Vicepresidente,Vicepresidentes,9.97457312715349,29
29,Heisemberg,Duisemberg,9.973994838933601,20
30,Latinoamérica,Hispanoamérica,9.97386440088433,27
31,Reglamentos,Parlamentos,9.973680301374493,22
32,Acuicultura,Agricultura,9.973368430623205,22
33,Vallelelersundi,Vallelersundi,9.97326206965036,28
34,Hernández,Fernández,9.973233047060997,18
35,Vicepresidentes,Vicepresidenta,9.973203499260633,29
36,Tailandia,Thailandia,9.972872902734109,19
37,Chischester,Chichester,9.972604477377256,21
38,megaoperación,reponderación,9.97234799659521,26
39,UEMéxico,CEMéxico,9.972269990339358,16
40,Interiores,Exteriores,9.972176858115047,20
41,RanzioPlath,RandzioPlath,9.972062684003557,23
42,Presidencia,Pesidencia,9.971741325951008,21
43,Vicepresidente,Vicepresidenta,9.97150418998758,28
44,Stegrennan,Stregrennan,9.971502650578557,21
45,Hispanoamérica,Centroamérica,9.971468826885395,27
46,Avraham,Abraham,9.971448979591836,14
47,Telecom,Telekom,9.971448979591836,14
48,António,Antonio,9.971448979591836,14
49,Lagendijk,Langendijk,9.970984374452094,19
50,Parlamentario,Parlamentaria,9.970918124078013,26
51,Centroamérica,Norteamérica,9.970599590685019,25
52,Euroafricana,Centroafricana,9.970566289624484,26
53,Matrovica,Mitrovica,9.970104923362692,18
54,Norteamérica,Latinoamérica,9.970079792222997,25
55,Socialdemócratas,CristianoDemócrata,9.96997154912793,34
56,CEIsrael,UEIsrael,9.969761769621005,16
57,Pristina,Cristina,9.969648197320302,16
58,Conclusión,Inclusión,9.96946949065906,19
59,Kindermann,Södermann,9.96845176391798,19
60,Gobernadores,Conservadores,9.968179808896892,25
61,Cisjordania,UEJordania,9.967959722134585,21
62,Béguin,Beguin,9.966694444444444,12
63,Beguin,Béguin,9.966694444444444,12
64,Leynen,Leinen,9.966694444444444,12
65,Miller,Myller,9.966694444444444,12
66,Grozny,Grozni,9.966694444444444,12
67,Reglamento,Parlamento,9.965957805537858,20
68,Habsburgo,Salzburgo,9.96576871456907,18
69,Sanitaria,Paritaria,9.965457304752736,18
70,Intergubernamental,Intergubernamentales,9.96531651707069,38
71,noalineación,homgeneización,9.965124977922873,26
72,Winchester,Chichester,9.964524687501608,20
73,EUMéxico,CEMéxico,9.964324452176372,16
74,EUMéxico,UEMéxico,9.963864257573153,16
75,Proporcionales,Institucionales,9.963426920488013,29
76,nongovernmental,Intergubernamental,9.963336810626874,33
77,sobrecomercialización,comunitarización,9.963305570716107,37
78,Peticiones,Condiciones,9.963041641675005,21
79,Nazismo,Racismo,9.962962613656954,14
80,biodiversidad,universidad,9.962890443073553,24
81,Humanitaria,Comunitaria,9.962848302001596,22
82,Ámsterdam,Rótterdam,9.962781989039033,18
83,Parlamentaria,Alimentaria,9.962743808707957,24
84,Manders,Sanders,9.96245551521806,14
85,Presidencia,Procedencia,9.962214882012995,22
86,abastecimiento,trastrocamiento,9.962173462082184,29
87,Rotterdam,Amsterdam,9.96197935330713,18
88,Parlamentos,Suplementos,9.961947460960873,22
89,Hispanoamérica,Norteamérica,9.96184257395448,26
90,Presidente,Occidente,9.961772869691396,19
91,Independencia,Procedencia,9.961555849519222,24
92,Principios,Municipios,9.961405911153994,20
93,agricultura,silvicultura,9.961359658484922,23
94,homgeneización,desfiscalización,9.961248872928401,30
95,Proporcionales,Constitucionales,9.961054314454099,30
96,Suplementos,Reglamentos,9.960834948135712,22
97,Alyssandrakis,Papayannakis,9.960453871230841,25
98,Chichester,Manchester,9.960394356017389,20
99,Claus,Klaus,9.96004,10
100,Leyla,Leila,9.96004,10
101,Peres,Pérez,9.96004,10
102,Mario,Mário,9.96004,10
103,Leila,Leyla,9.96004,10
104,María,Maria,9.96004,10
105,Tibet,Tïbet,9.96004,10
106,Marco,Marko,9.96004,10
107,Martínez,Cortines,9.959913396676821,16
108,Constitucional,Interinstitucional,9.959616547300286,32
109,noalineación,anualización,9.959392633921787,24
110,abastecimiento,descubrimiento,9.95927229893735,28
111,Comisionada,Comisionado,9.959197642259433,22
112,Colonia,Bolonia,9.959185761633846,14
113,Condiciones,Direcciones,9.959153487864597,22
114,Exteriores,Superiores,9.959142524774503,20
115,Unionistas,Pensionistas,9.958963615036408,22
116,trastrocamiento,descubrimiento,9.958767740520765,29
117,Hyeronymi,Hieronymi,9.958602506319417,18
118,Bolkestein,Bolkenstein,9.958533393556575,21
119,Centroafricana,Interamericana,9.958492795454658,28
120,reponderación,homgeneización,9.958489434783832,27
121,Winchester,Chischester,9.958435526281038,21
122,Skateboard,Scoreboard,9.958140119162566,20
123,Fundamentales,Occidentales,9.957854761928463,25
124,Coherencia,Conferencia,9.95752531198242,21
125,sobrecomercialización,desfiscalización,9.957266589121451,37
126,Suazilandia,Thailandia,9.956633632558924,21
127,Independencia,Vicepresidencia,9.95637558002787,28
128,Interamericana,Latinoamericano,9.956326826499351,29
129,Esmerémonos,Sentémonos,9.956196075615688,21
130,Felicito,Solicito,9.956068090539794,16
131,Presionado,Comisionado,9.956045396158022,21
132,Paddington,Washington,9.956040313430911,20
133,Comunitario,Comunitaria,9.95589150722455,22
134,Blockland,Blokland,9.955729373218611,17
135,Condiciones,Inspecciones,9.955658972481373,23
136,Tempere,Tampere,9.955529596681039,14
137,Luxemburgo,Gotemburgo,9.955479782439983,20
138,megaoperación,homgeneización,9.955416169293343,27
139,Malmström,Malström,9.955267553332481,17
140,Pretensión,Extensión,9.955217478487736,19
141,Sanitaria,Unitaria,9.955102773832264,17
142,Coherencia,Florencia,9.955030077894897,19
143,Interparlamentario,Intergubernamentales,9.955029067901064,38
144,Interiores,Superiores,9.954991307799729,20
145,comunitarización,homgeneización,9.95461115703623,30
146,Oomen,Women,9.954609870480015,10
147,tomémosle,llamémosle,9.954572131696331,19
148,Chischester,Manchester,9.954339420481729,21
149,Medicamentos,Parlamentos,9.954284296682918,23
150,Latinoamérica,Euroatlántica,9.954161833960613,26
151,Comisariado,Voluntariado,9.954015075080498,23
152,plasmándola,planteándola,9.953975238275541,23
153,Perspectiva,Perspectivas,9.953754763987723,23
154,Liechtenstein,Bolkenstein,9.953623720482433,24
155,Propuesta,Respuesta,9.953552852502273,18
156,Vallersundi,Vallelersundi,9.953173433519325,24
157,desresponsabiliza,preabolicionista,9.953104538359392,33
158,homgeneización,colegislación,9.953093809210516,27
159,Presidencias,Presidencia,9.952918531313047,23
160,excusándome,anticipándome,9.952805972749891,24
161,LIFENaturaleza,Europafortaleza,9.952800850379626,29
162,Armamentos,Alimentos,9.95271602031621,19
163,Subsecretario,Presupuestario,9.952621456357173,27
164,Autonómica,Económica,9.95242518653482,19
165,Euromediterráneo,Mediterráneo,9.952394146570645,28
166,Reglamentos,Armamentos,9.95231855038025,21
167,Hispanoamérica,Euroatlántica,9.952194388912973,27
168,Intergubernamentales,Interparlamentaria,9.95217722421605,38
169,Intergubernamental,Gubernamental,9.95210056032668,31
170,Parlamentos,Armamentos,9.951981407352774,21
171,abastecimiento,apaciguamiento,9.951857562354544,28
172,Trabajadores,Conservadores,9.95162527051966,25
173,SrComisario,Comunitario,9.951604425689384,22
174,Goteburgo,Gotemburgo,9.951554968437327,19
175,Alimentaria,Parlamentario,9.951517486374101,24
176,Vertidos,Partidos,9.951240932608389,16
177,Groenlandia,Eurolandia,9.95123256486451,21
178,Conferencia,Procedencia,9.950635589586799,22
179,Toxicología,Comitología,9.950539012899215,22
180,Presidencia,Coherencia,9.950520082427035,21
181,Pesidencia,Coherencia,9.950209772444566,20
182,Interparlamentario,Parlamentario,9.950127936387378,31
183,Iraq,Irak,9.950062500000001,8
184,núms,nums,9.950062500000001,8
185,noalineación,gobernación,9.950031881191542,23
186,Humanitaria,Sanitaria,9.949835726078257,20
187,cohabitation,administration,9.949780241422438,26
188,Emblemático,Democrático,9.949770236681676,22
189,reglamentomarco,programamarco,9.94946892065552,28
190,Parlamentaria,Interparlamentaria,9.949379973469398,31
191,Paasolinna,Paasilinna,9.949284597899267,20
192,Direcciones,Peticiones,9.949261521980928,21
193,Democracias,Democracia,9.949194022191355,21
194,Paritaria,Unitaria,9.949152170979861,17
195,Financia,Infancia,9.949148215486593,16
196,Experimental,Gubernamental,9.949097490974424,25
197,Coherencia,Procedencia,9.94887213915566,21
198,Maastrich,Maastricht,9.948794487573217,19
199,conveniomarco,acuerdomarco,9.948774067894048,25
200,Luxemburgo,Brandemburgo,9.948476259172626,22
201,Escandinavia,Transilvania,9.948457088288546,24
202,acuerdomarco,proyectomarco,9.948442583205297,25
203,Centroamérica,Euroatlántica,9.948293898145474,26
204,Interinstitucional,comunitarización,9.948175811739148,34
205,Instituciones,Institucionales,9.948131413306712,28
206,Sudafricano,Euroafricana,9.948121310576745,23
207,Convenciones,Condiciones,9.948086563053868,23
208,Tailandia,Finlandia,9.947912471363956,18
209,upadministration,judeocristiano,9.94766810510892,30
210,israelípalestina,demócratacristiana,9.947429778233053,34
211,Llamémoslo,Llamémoslos,9.94737814626159,21
212,planteándola,confrontándola,9.947357450798485,26
213,Tecnología,Toxicología,9.9473544825828,21
214,Monetarios,Comisarios,9.947149314922322,20
215,comunitarización,preabolicionista,9.947123442473785,32
216,colegislación,noalineación,9.947069547684714,25
217,Reglamentos,Medicamentos,9.947024710464694,23
218,apaciguamiento,trastrocamiento,9.946978622647112,29
219,toxicodependencia,Vicepresidencia,9.946744399043002,32
220,Provisional,Transitional,9.946697634625465,23
221,sobrecomercialización,Interinstitucional,9.946516737599765,39
222,Excelencia,Florencia,9.946081603492646,19
223,Generales,Liberales,9.946034341324792,18
224,Intergubernamentales,BruselasAmsterdam,9.945895926488356,37
225,Gerbhardt,Gebhardt,9.945848972264375,17
226,Presidencias,Vicepresidencia,9.94584013604419,27
227,Khatami,Jhatami,9.94573404663213,14
228,Thailandia,Finlandia,9.945727428904782,19
229,amparándome,confiándome,9.945690271980428,22
230,colegislación,desfiscalización,9.94552987445111,29
231,SurEuropaAtlántico,CristianoDemócrata,9.945409480946202,36
232,Jatami,Jhatami,9.945329075804292,13
233,Tomlinson,Parkinson,9.945278532135948,18
234,Gotemburgo,Edimburgo,9.94501967698126,19
235,negociándola,plasmándola,9.944818479204331,23
236,proyectomarco,directivamarco,9.944742817476946,27
237,Constitucionales,Instituciones,9.94462756721047,29
238,planteándola,negociándola,9.944618206313615,24
239,BadenWürttemberg,DuffVoggenhuber,9.944538049120728,31
240,Interior,Exterior,9.944521167502714,16
241,Boetticher,Schleicher,9.94449628338539,20
242,Provisional,Profesional,9.944318198342266,22
243,Handlungsbedarf,Wohlfahrtsverbände,9.944238377995308,33
244,Wohlfahrtsverbände,EuropeaIzquierda,9.944027488401456,34
245,Violencia,Florencia,9.944005981005926,18
246,nongovernmental,Intergubernamentales,9.944004990494292,35
247,Instaría,Sanitaria,9.943977563648987,17
248,Thailandia,Eurolandia,9.943892669023569,20
249,fechalímite,valorlímite,9.943781290985903,22
250,Parlamentario,Interparlamentaria,9.94373171909253,31
251,demócratacristiana,jurídicoadministrativa,9.943687709781157,40
252,homgeneización,anualización,9.943671221836732,26
253,biodiversidad,imprescindibilidad,9.943649741279026,31
254,desfiscalización,anualización,9.94350466732093,28
255,SurEuropaAtlántico,Euromediterráneo,9.943492536243419,34
256,Instaría,Unitaria,9.943481175164413,16
257,Florencia,Pesidencia,9.943369168982937,19
258,Presidencia,Independencia,9.943275211125147,24
259,Interinstitucional,Constitucionales,9.94327317710556,34
260,Hispanoamérica,Latinoamericano,9.943264533002935,29
261,Sanitaria,Comisaria,9.943241084252596,18
262,reglamentomarco,conveniomarco,9.943226447661665,28
263,PSEVertsALEGUENGL,BadenWürttemberg,9.943222822462474,33
264,Latinoamericano,Centroafricana,9.943189192101318,29
265,Letonia,Estonia,9.943167902081282,14
266,Excelencia,Coherencia,9.943149661749095,20
267,Medicamentos,Suplementos,9.943132996676233,23
268,Caracas,Korakas,9.943099459022195,14
269,Petersberg,Duysenberg,9.943047901578577,20
270,Occidentales,Interraciales,9.942970953059103,25
271,SrComisario,Comisario,9.94295359258584,20
272,Irlanda,Zelanda,9.942913430831592,14
273,Wohlfahrtsverbände,Interuniversitaire,9.942824978827876,36
274,Coherencia,Tendencia,9.942760303722824,19
275,superdiplomáticos,SurEuropaAtlántico,9.942717396431092,35
276,Newton,Hudhton,9.942583060598988,13
277,Secretario,Secretaría,9.94245381370932,20
278,Secretario,Secretaria,9.94245381370932,20
279,Ingushetia,Inguschetia,9.942420836607688,21
280,Atengámonos,Esmerémonos,9.94223997921827,22
281,Stimmbürgerschaft,Schweigepflicht,9.942103417836691,32
282,Presidentas,Occidentales,9.941748495841393,23
283,Petersberg,Duisenberg,9.941633672987603,20
284,Complementariedad,Interparlamentaria,9.941540418231803,35
285,noalineación,reponderación,9.941514415585305,25
286,Markovic,Draskovic,9.941501767917224,17
287,directivamarco,superdiplomáticos,9.94141441703589,31
288,disfuncionamientos,trastrocamiento,9.941402478305827,33
289,Monetaria,Secretaria,9.941327566580387,19
290,Monetaria,Secretaría,9.941327566580387,19
291,Conferencia,Presidencia,9.941267970112904,22
292,desresponsabiliza,coresponsabilidad,9.941255375708671,34
293,sobrecomercialización,homgeneización,9.941220425184909,35
294,Parlamentaria,Interparlamentario,9.941189679378844,31
295,Transitional,Profesional,9.94117922303473,23
296,Pesidencia,Procedencia,9.941160772581561,21
297,Interamericana,Hispanoamérica,9.941158488388243,28
298,Presupuestos,Presupuesto,9.940952072936652,23
299,Interparlamentario,Complementariedad,9.940919455685087,35
300,Peticiones,Inspecciones,9.94080510365271,22
301,Conservadores,Consumidores,9.940715175026998,25
302,Presupuestaria,Subsecretario,9.94071012207912,27
303,Luxemburgo,Edimburgo,9.94050146434838,19
304,obstaculación,desfiscalización,9.940418155520195,29
305,SOSDemocracia,Democracia,9.940417349329225,23
306,Intergubernamentales,PSEVertsALEGUENGL,9.940397358908243,37
307,Afganistán,Kirguizstán,9.94037330288724,21
308,reponderación,federación,9.940349914087916,23
309,Pesidencia,Tendencia,9.940238085723719,19
310,noalineación,desfiscalización,9.94022436166122,28
311,Asistencia,Coherencia,9.940223378413535,20
312,Gotemburgo,Brandemburgo,9.939883371488616,22
313,Finlandia,Groenlandia,9.93982160028565,20
314,Flichard,Richard,9.9398110071389,15
