,text,text_2,score,length
13985,DemócratacristianosDemócratas,jurídicoadministrativa,9.836760455595844,51
9945,DemócratacristianosDemócratas,demócratacristiana,9.849307558344687,47
5239,jurídicoadministrativa,políticoadministrativos,9.870558778810985,45
12675,trabajadorespensionistas,sobrecomercialización,9.840453620338964,45
25631,DemócratacristianosDemócratas,israelípalestina,9.812439022092423,45
29104,Intergubernamentales,trabajadorespensionistas,9.807127318592334,44
21727,sobrecomercialización,financieroindustriales,9.81931059506949,43
7933,sobrecomercialización,constitucionalización,9.857138064499566,42
10320,sobrecomercialización,instrumentalizaciones,9.848046519272216,42
11231,fusionesadquisiciones,sobrecomercialización,9.844999919567313,42
20609,Interuniversitaire,trabajadorespensionistas,9.821358803494086,42
21292,VodafoneMannesmann,trabajadorespensionistas,9.820132303578966,42
24190,DimitrakopoulosLeinen,sobrecomercialización,9.814914547657063,42
26968,financieroindustriales,Intergubernamentales,9.810368878573051,42
29046,Interinstitucional,trabajadorespensionistas,9.807195338341682,42
32061,jurídicoadministrativa,DemócratasCristianos,9.803002960048007,42
32806,Wohlfahrtsverbände,trabajadorespensionistas,9.8020544689424,42
33007,trabajadorespensionistas,HamburgoCopenhague,9.801761416856065,42
3949,Intergubernamentales,sobrecomercialización,9.87912246373435,41
5882,carreteraferrocarril,sobrecomercialización,9.866829780483073,41
8154,sobrecomercialización,desindustrialización,9.856131564270385,41
8900,institucionalización,sobrecomercialización,9.853072105915103,41
13095,infrarrepresentación,sobrecomercialización,9.839260857207947,41
16488,democráticopolítico,jurídicoadministrativa,9.830333720055673,41
16662,demócratacristiana,políticoadministrativos,9.829904096430687,41
21413,multidisciplinaridad,sobrecomercialización,9.819907560549504,41
21814,autorresponsabilidad,sobrecomercialización,9.81917741428002,41
26221,DemócrataCristianos,jurídicoadministrativa,9.811488522586448,41
28815,DimitrakopoulosLeinen,Intergubernamentales,9.807540874926037,41
30624,trabajadorespensionistas,desresponsabiliza,9.804924518927821,41
31981,toxicodependencia,trabajadorespensionistas,9.803081536563619,41
33038,económicofinanciero,jurídicoadministrativa,9.801713946032567,41
251,demócratacristiana,jurídicoadministrativa,9.943687709781157,40
3014,sobrecomercialización,LanguedocRoussillon,9.886515989735816,40
3125,MatikainenKallström,sobrecomercialización,9.885722613526136,40
5344,Intergubernamentales,carreteraferrocarril,9.869870995534626,40
7683,sobrecomercialización,multilateralización,9.85811012057221,40
8024,instrumentalización,sobrecomercialización,9.856711749913817,40
13070,sobrecomercialización,infrarepresentación,9.839335862737412,40
13557,desestabilizaciones,sobrecomercialización,9.837873621963752,40
16989,sobrecomercialización,hiperreglamentación,9.829128427925335,40
23075,financieroindustriales,Interuniversitaire,9.816894737743931,40
28710,financieroindustriales,VodafoneMannesmann,9.807715370517712,40
30675,financieroindustriales,Wohlfahrtsverbände,9.80486988130275,40
31008,trabajadorespensionistas,upadministration,9.804425319419765,40
32889,HamburgoCopenhague,financieroindustriales,9.80193850610886,40
33225,financieroindustriales,disfuncionamientos,9.801443607736319,40
34078,trabajadorespensionistas,preabolicionista,9.800327364549373,40
221,sobrecomercialización,Interinstitucional,9.946516737599765,39
606,MatikainenKallström,carreteraferrocarril,9.926638750153936,39
647,VodafoneMannesmann,sobrecomercialización,9.925436852501917,39
1039,imprescindibilidad,sobrecomercialización,9.913427255373033,39
1299,Interuniversitaire,sobrecomercialización,9.908163504169263,39
1747,jurídicoadministrativa,políticoeconómico,9.90086171848339,39
2689,MatikainenKallström,Intergubernamentales,9.889805042080216,39
3339,carreteraferrocarril,LanguedocRoussillon,9.883923896769442,39
4171,sobrecomercialización,Wohlfahrtsverbände,9.877660423685834,39
4674,sobrecomercialización,HamburgoCopenhague,9.874374012281603,39
5498,sobrecomercialización,disfuncionamientos,9.868953729932933,39
6073,LanguedocRoussillon,Intergubernamentales,9.865838780047529,39
8253,Intergubernamental,sobrecomercialización,9.855748289168233,39
8726,continentalización,sobrecomercialización,9.853691695944534,39
10281,IntergubernamentalE,Intergubernamentales,9.848191766741522,39
12417,sobrecomercialización,antidiscriminación,9.841178739805658,39
12468,sobrecomercialización,desburocratización,9.84104729326737,39
13755,Interparlamentario,sobrecomercialización,9.837352559010467,39
15560,Interinstitucional,constitucionalización,9.832528781543335,39
17585,presupuestariamente,Intergubernamentales,9.827714482690112,39
17635,políticomilitares,jurídicoadministrativa,9.827582711762844,39
17795,multifuncionalidad,sobrecomercialización,9.827248645739159,39
17809,sobrecomercialización,contraindicaciones,9.827227679043105,39
18263,civilizacionescomo,sobrecomercialización,9.826239882124018,39
18827,Intergubernamentales,imprescindiblemente,9.825086574247377,39
19694,Interparlamentaria,sobrecomercialización,9.823117693026939,39
19904,sobrecomercialización,Telecomunicaciones,9.822696836103294,39
19905,Telecomunicaciones,sobrecomercialización,9.822696836103294,39
20682,nacionalsocialismo,sobrecomercialización,9.82123753125639,39
22163,instrumentalizaciones,Interinstitucional,9.818561464298913,39
23427,resoluciónEXPLICACIONES,israelípalestina,9.816273922346511,39
24338,DimitrakopoulosLeinen,VodafoneMannesmann,9.8146441677882,39
24751,fusionesadquisiciones,Interinstitucional,9.813923222972356,39
24831,DimitrakopoulosLeinen,HamburgoCopenhague,9.81382028535971,39
25210,sobrecomercialización,subvencionabilidad,9.813160098650984,39
25610,Intergubernamentales,reacondicionamiento,9.812458009623867,39
26406,experienciaspiloto,sobrecomercialización,9.81120546272875,39
27154,DimitrakopoulosLeinen,Interuniversitaire,9.810095548490992,39
27258,SurEuropaAtlántico,sobrecomercialización,9.8099371467316,39
27684,CristianoDemócrata,sobrecomercialización,9.809263863632237,39
28950,jurídicoadministrativa,BoumédienneThiery,9.807342132448172,39
